Company nmae, Telephone, Fax, Email, Links
ACSL Precision Eng., +44 (0)1438 359123, +44 (0)1438  741819, info@acslprecisionengineering.com, http://www.acslprecisionengineering.com
Atkinson Engineering Division of Atkinson Equipment Limited, 0137382220, NaN, jonathan.rigg@atkinsonequipment.com, http://www.atkinson-engineering.com
Bailey & Wade Engineering Co Ltd., 024 7636 3909, 024 7636 6303, info@turnedpartsrus.co.uk, http://www.turnedpartsrus.co.uk
Batchflow Engineering Ltd, 01926 492889, 01926 403379, info@batchflow.co.uk, http://www.batchflow.co.uk | https://www.linkedin.com/company/batchflow-engineering
Cambion Electronics Ltd., +44 (01433) 621555, +44 (01433) 621290, paul.karlsons@cambion.com, http://www.cambion.com
Cambridge Precision Ltd., +44 (01480) 215196, +44 (01480) 476723, sales@cambridgeprecision.com, http://www.cambridgeprecision.com
CK Precision Engineering Ltd, 01493 658457, 01493 843889, craig@shepherdengineeringltd.com, http://www.ckprecisionengineeringltd.com
Currie & Warner Ltd., +44 (0121) 236 8986, +44 (0121) 236 7201, sales@curriewarner.com, http://www.curriewarner.com
Davromatic Precision Ltd, 01788 561969, 01788 562882, martin@davromatic.co.uk, http://www.davromatic.co.uk
Dawson Precision Components Ltd, 01706 842311, 01706 849584, sales@dpc.co.uk, http://www.dpc.co.uk
Dawson-Shanahan (Wales) Ltd, 01938 551700, 01938 555339, Jeff.kiernan@dawson-shanahan.co.uk, http://www.dawson-shanahan.co.uk | https://www.facebook.com/dawsonshanahanltd | https://www.youtube.com/user/dawsonshanahan | https://www.linkedin.com/m/login/
DKW Engineering Ltd., 02392 677747, 02392 694335, karl@dkwengineering.co.uk, http://www.dkwengineering.co.uk | https://www.linkedin.com/company/dkw-engineering-ltd
Falcon Engineering Productions Ltd, 0121 772 6409, 0121 766 8066, sales@falconengineering.co.uk, 
G S Brown (Precision Engineers) Ltd, +44 (01337) 830264, +44 (01337) 831269, malcolm@gsbrown.com, http://www.gsbrown.com
G W Martin & Co Ltd, 02380 642922, 02380 611653, stuartyalden@gwmartin.co.uk, http://www.gwmartin.co.uk | https://www.linkedin.com/company/9178142
H P C  Services Ltd., +44 0115 9323773, +44 (0115) 9322857, p.cobb@slidinghead.com, http://www.slidinghead.com
Haydon Precision Turned Parts, +44 (01323) 833796, +44 (01323) 833711, haydontool.co@btconnect.com, http://www.haydon-precision.co.uk
Herv̩ Engineering Ltd., +44 (01702) 293617, +44 (01702) 297410, sales@herve-engineering.com, https://www.herve-engineering.com/ | https://www.facebook.com/HervePrecision/ | https://www.linkedin.com/company/herv%C3%A9-engineering-limited/
INRO TURNED PARTS, +44 (020) 8531 4879, +44 (020) 8527 7649, sales@inro-eng.co.uk, http://www.inro-eng.co.uk
JCF Engineering Ltd, 01724 847220, NaN, john.felton@jcfengineering.co.uk, Http://www.jcfengineering.co.uk
M & M Turned Parts Ltd, 01527 500888, 01527 500252, tim@mmturnedparts.co.uk, www.mmturnedparts.co.uk | https://www.youtube.com/channel/UCFWYE6W3eTZ7wJRt40SwBeA
Machined Component Systems Plc, +44 (01527) 405922, +44 (01527) 585048, warren@machinedcomponent.com, http://www.machinedcomponent.com
Manton Engineering (Bedford) Ltd, 01234 345554, 0123272710, salesmantoneng@aol.com, Http://www.mantonengineering.co.uk
Muller England Ltd, 01299 270271, 01299 270877, sales@muller-england.co.uk, http://www.muller-england.co.uk/
NC Precision Ltd, +44 (01460) 65493, +44 (01460) 65129, sales@ncprecision.com, http://www.ncprecision.com
NEIDA Products (Engineering) Ltd, 01782 643643, 01782 644220, sales@neida.co.uk, www.neida.co.uk | https://www.youtube.com/channel/UCb_iL1tByjGBySJ07sNpACA
Normec (Manchester) Ltd, 0161 627 2367, 0161 627 2378, sales@normec.co.uk, http://www.normec.co.uk
Plastic Turned Parts Ltd, +44 (01920) 830018, +44 (01920) 830028, sales@plasticturnedparts.co.uk, http://www.plasticturnedparts.co.uk
Precision Component Services Ltd, +44 (0)1452 883914, +44 (0)5603 124309, shane@precision-components.co.uk, http://www.precision-components.co.uk
Precision Products (Bton) Ltd., +44 (0)1903 776171, +44 (0)1903 774629, precision@precisionproducts.co.uk, http://www.precisionproducts.co.uk
Qualiturn Products Ltd, +44 (01992) 584499, NaN, nick@qualiturn.co.uk, http://www.qualiturn.co.uk | http://www.facebook.com/qualiturn | https://www.twitter.com/qualiturn | https://www.youtube.com/user/qualiturn | https://www.linkedin.com/company/qualiturn-products-limited
Quantum Turned Parts Ltd T/A Quantamatic, 01455 618866, 01455 618333, info@quantamatic.co.uk, http://www.quantamatic.com
Rodmatic  Ltd., +44 (01189) 596969, +44 (01189) 393060, bsteatham@rodmatic.com, http://www.rodmatic.com
